Building Engine...
Starting Main Loop
         253430411 function calls (250898655 primitive calls) in 169.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.028    0.003    0.028    0.003 {built-in method pygame.imageext.load_extended}
     7403    0.006    0.000    0.028    0.000 behavior_states.py:165(update)
        1    0.000    0.000    0.027    0.027 resource_management_scene.py:969(_loadLayerDataCollection)
        1    0.000    0.000    0.027    0.027 resource_management_scene.py:535(createLayerDataCollection)
        1    0.000    0.000    0.027    0.027 builder.py:1(<module>)
       36    0.000    0.000    0.027    0.001 __init__.py:602(add_entry)
       82    0.000    0.000    0.026    0.000 __init__.py:1936(find_on_path)
       27    0.000    0.000    0.025    0.001 pyparsing.py:2738(__init__)
      215    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
        2    0.000    0.000    0.025    0.012 __init__.py:45(<module>)
        1    0.000    0.000    0.024    0.024 pyparsing.py:61(<module>)
      215    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
      503    0.000    0.000    0.024    0.000 resource_management_entity.py:188(_loadEntityDataCollection)
        1    0.000    0.000    0.023    0.023 parser.py:5(<module>)
        1    0.000    0.000    0.023    0.023 feedparser.py:20(<module>)
        5    0.000    0.000    0.023    0.005 resource_management_entity.py:197(_loadEntityResourceData)
        5    0.000    0.000    0.023    0.005 resource_management_entity.py:95(createResourceData)
     7403    0.012    0.000    0.022    0.000 behavior_states.py:136(handleMovement)
     9881    0.022    0.000    0.022    0.000 {built-in method builtins.round}
      503    0.001    0.000    0.022    0.000 component_entity_sprite.py:305(requestPointers)
        1    0.000    0.000    0.022    0.022 resource_management_entity.py:105(createSpriteResourceData)
        5    0.000    0.000    0.022    0.004 resource_management.py:168(loadSpriteData)
        5    0.000    0.000    0.020    0.004 resource_management.py:184(loadSpriteImage)
        1    0.000    0.000    0.020    0.020 _policybase.py:4(<module>)
        1    0.000    0.000    0.020    0.020 specifiers.py:4(<module>)
     3515    0.007    0.000    0.020    0.000 behavior_states.py:28(createBehaviorState)
     2483    0.014    0.000    0.019    0.000 {method 'sort' of 'list' objects}
      370    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
     3797    0.012    0.000    0.018    0.000 component_scene_tilemap.py:7(__init__)
   106124    0.018    0.000    0.018    0.000 component_entity_sprite.py:77(getImageCoordinates)
   106124    0.018    0.000    0.018    0.000 component_entity_sprite.py:80(getScreenCoordinates)
     3766    0.006    0.000    0.017    0.000 enum.py:801(__and__)
      337    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
   106124    0.017    0.000    0.017    0.000 component_entity_sprite.py:74(getImage)
        1    0.000    0.000    0.017    0.017 specifiers.py:275(Specifier)
      502    0.005    0.000    0.017    0.000 component_entity_sprite.py:220(setBehaviorStatePtrs)
       96    0.000    0.000    0.015    0.000 __init__.py:2023(distributions_from_metadata)
        3    0.000    0.000    0.014    0.005 __init__.py:332(__init__)
        2    0.014    0.007    0.014    0.007 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.014    0.014 render.py:1(<module>)
        1    0.000    0.000    0.014    0.014 multiarray.py:7(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:560(_build_master)
        1    0.000    0.000    0.014    0.014 __init__.py:547(__init__)
        2    0.000    0.000    0.014    0.007 resource_management_scene.py:662(_createPanoramaLayer)
        6    0.000    0.000    0.014    0.002 resource_management.py:192(loadPanoramaImage)
     9872    0.014    0.000    0.014    0.000 component_scene_panorama.py:264(_isOnScreen)
        1    0.000    0.000    0.014    0.014 scene_layer.py:1(<module>)
     8319    0.008    0.000    0.014    0.000 component_system.py:105(__init__)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
        1    0.000    0.000    0.013    0.013 overrides.py:1(<module>)
    14806    0.013    0.000    0.013    0.000 component_scene_panorama.py:84(update)
      502    0.005    0.000    0.013    0.000 component_entity_sprite.py:154(initialize)
    12207    0.005    0.000    0.013    0.000 sre_parse.py:253(get)
       23    0.001    0.000    0.013    0.001 __init__.py:357(namedtuple)
     8081    0.005    0.000    0.013    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.012    0.012 resource_management_scene.py:1(<module>)
     2510    0.006    0.000    0.012    0.000 component_entity_sprite.py:18(__init__)
      215    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     7404    0.012    0.000    0.012    0.000 {built-in method pygame.event.clear}
        1    0.000    0.000    0.012    0.012 utils.py:5(<module>)
        1    0.000    0.000    0.011    0.011 pyparsing.py:5353(pyparsing_common)
        1    0.000    0.000    0.011    0.011 npyio.py:1(<module>)
      215    0.011    0.000    0.011    0.000 {method 'read' of '_io.FileIO' objects}
     2468    0.008    0.000    0.010    0.000 main.py:176(handleDebug)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
       10    0.010    0.001    0.010    0.001 {method 'convert_alpha' of 'pygame.Surface' objects}
     3514    0.002    0.000    0.010    0.000 component_entity_behavior.py:196(setBehaviorStateFrameTimes)
      503    0.004    0.000    0.010    0.000 component_entity_physics.py:432(createComponent)
     4803    0.002    0.000    0.009    0.000 render.py:155(addSceneComponent)
      353    0.001    0.000    0.009    0.000 sre_compile.py:223(_compile_charset)
