3
         812471 function calls (800302 primitive calls) in 77.448 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      241    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      632    0.001    0.000    0.002    0.000 genericpath.py:117(_splitext)
        4    0.000    0.000    0.002    0.000 database.py:6(queryDB)
        4    0.002    0.000    0.002    0.000 {method 'execute' of 'sqlite3.Connection' objects}
       75    0.000    0.000    0.002    0.000 traceback.py:279(line)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4863(makeHTMLTags)
      366    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4834(_makeTags)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
      139    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       75    0.000    0.000    0.002    0.000 linecache.py:15(getline)
      471    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
        1    0.002    0.002    0.002    0.002 {built-in method pygame.mixer_music.load}
    15210    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 dbapi2.py:23(<module>)
       75    0.000    0.000    0.002    0.000 linecache.py:37(getlines)
      285    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.002    0.002 log_errors.py:5(<module>)
        1    0.000    0.000    0.002    0.002 database.py:23(getLevelData)
      250    0.000    0.000    0.002    0.000 enum.py:795(__or__)
        1    0.000    0.000    0.002    0.002 linecache.py:82(updatecache)
        7    0.000    0.000    0.002    0.000 enum.py:364(_create_)
     2575    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
     1254    0.002    0.000    0.002    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
        1    0.000    0.000    0.002    0.002 specifiers.py:214(LegacySpecifier)
     2492    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       83    0.000    0.000    0.002    0.000 pyparsing.py:1780(__add__)
        2    0.000    0.000    0.002    0.001 pyparsing.py:4722(srange)
      134    0.000    0.000    0.002    0.000 pyparsing.py:3219(__init__)
     7242    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      102    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        2    0.000    0.000    0.001    0.001 pyparsing.py:1571(parseString)
       13    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
     2783    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
1704/1695    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 sprite.py:67(<module>)
     4563    0.001    0.000    0.001    0.000 {method 'clear' of 'list' objects}
        1    0.000    0.000    0.001    0.001 selectors.py:5(<module>)
       84    0.000    0.000    0.001    0.000 pyparsing.py:3349(__init__)
     1266    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 event.py:208(runLoadMenu)
        1    0.000    0.000    0.001    0.001 game.py:64(loadMenu)
     1529    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
1826/1822    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 lzma.py:9(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:108(import_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:982(_gcd_import)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:1347(_parseNoCache)
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:3356(parseImpl)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
       25    0.000    0.000    0.001    0.000 linecache.py:53(checkcache)
        1    0.000    0.000    0.001    0.001 actions.py:1(<module>)
        7    0.000    0.000    0.001    0.000 enum.py:124(__new__)
        4    0.000    0.000    0.001    0.000 database.py:15(openDB)
        4    0.001    0.000    0.001    0.000 {built-in method _sqlite3.connect}
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:11(<module>)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       18    0.000    0.000    0.001    0.000 abc.py:132(__new__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
     3447    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 surfarray.py:61(<module>)
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:3696(parseImpl)
        6    0.001    0.000    0.001    0.000 {built-in method io.open}
      337    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:3818(parseImpl)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:3506(parseImpl)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       22    0.001    0.000    0.001    0.000 {built-in method nt._isdir}
        1    0.000    0.000    0.001    0.001 sndarray.py:45(<module>)
       83    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
     3107    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      370    0.001    0.000    0.001    0.000 sre_compile.py:388(_simple)
       49    0.000    0.000    0.001    0.000 pyparsing.py:1907(__or__)
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method nt.open}
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
     1191    0.001    0.000    0.001    0.000 sre_parse.py:285(tell)
        1    0.000    0.000    0.001    0.001 __init__.py:2255(EntryPoint)
      620    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x6A8A2AB0}
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
        1    0.000    0.000    0.001    0.001 game_level.py:113(loadBackgrounds)
       49    0.000    0.000    0.001    0.000 pyparsing.py:3499(__init__)
     1615    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.001    0.001 base64mime.py:25(<module>)
     2116    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1340    0.001    0.000    0.001    0.000 sre_parse.py:171(append)
        6    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
        1    0.000    0.000    0.001    0.001 render.py:240(renderAllLowerTile)
      471    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      911    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1896    0.001    0.000    0.001    0.000 {method 'bit_length' of 'int' objects}
       82    0.000    0.000    0.001    0.000 pyparsing.py:3678(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 database.py:52(getBackgrounds)
      139    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 encoders.py:5(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.001    0.001 __init__.py:4(<module>)
      168    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1343    0.000    0.000    0.001    0.000 sre_parse.py:159(__len__)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
       13    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1069    0.000    0.000    0.001    0.000 sre_compile.py:102(fixup)
        6    0.000    0.000    0.001    0.000 __init__.py:2418(from_location)
       45    0.000    0.000    0.001    0.000 sre_compile.py:376(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 debug.py:1(<module>)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1181(setResultsName)
        2    0.000    0.000    0.001    0.000 pyparsing.py:4640(originalTextFor)
        1    0.000    0.000    0.001    0.001 encoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 database.py:36(getTileMaps)
        1    0.000    0.000    0.001    0.001 event.py:1(<module>)
        8    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
     1896    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 game_level.py:146(loadForegrounds)
        8    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      164    0.000    0.000    0.001    0.000 sre_parse.py:294(_class_escape)
      339    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
       10    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 __init__.py:1631(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 database.py:68(getForegrounds)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:837(_decompose)
     1664    0.000    0.000    0.000    0.000 version.py:48(<lambda>)
        1    0.000    0.000    0.000    0.000 _numpysurfarray.py:45(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:2406(__init__)
      121    0.000    0.000    0.000    0.000 pyparsing.py:2327(__init__)
       69    0.000    0.000    0.000    0.000 pyparsing.py:2371(__init__)
        1    0.000    0.000    0.000    0.000 _numpysndarray.py:34(<module>)
     1057    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       58    0.000    0.000    0.000    0.000 sre_parse.py:266(getuntil)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2822(__init__)
        1    0.000    0.000    0.000    0.000 sound.py:60(__init__)
     20/4    0.000    0.000    0.000    0.000 pyparsing.py:3278(streamline)
      511    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       14    0.000    0.000    0.000    0.000 pyparsing.py:1985(__call__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1836(__mul__)
      147    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
