         29886883 function calls (25691561 primitive calls) in 26.698 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1312    0.001    0.000    0.002    0.000 __init__.py:39(add_types)
        1    0.000    0.000    0.002    0.002 GL_4_3.py:1(<module>)
        1    0.000    0.000    0.002    0.002 vertex_type_2_10_10_10_rev.py:21(<module>)
      481    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
4449/4445    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
       89    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
      535    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
        6    0.000    0.000    0.002    0.000 enum.py:602(_convert)
        1    0.000    0.000    0.002    0.002 pointers.py:131(<listcomp>)
     2388    0.001    0.000    0.002    0.000 version.py:65(_compare)
     1814    0.001    0.000    0.002    0.000 wrapper.py:89(__getattr__)
      846    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
       30    0.000    0.000    0.002    0.000 pointers.py:101(wrapPointerFunction)
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
      310    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
      753    0.001    0.000    0.002    0.000 wrapper.py:84(__init__)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
      467    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 vbo.py:32(<module>)
        1    0.000    0.000    0.002    0.002 GL_1_5.py:9(<module>)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4863(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 pyparsing.py:4834(_makeTags)
       12    0.000    0.000    0.002    0.000 __init__.py:2418(from_location)
      846    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      471    0.001    0.000    0.002    0.000 copy.py:268(_reconstruct)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
      278    0.001    0.000    0.002    0.000 function_base.py:4533(add_newdoc)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
       88    0.000    0.000    0.002    0.000 GL_4_1.py:12(_f)
      536    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
       75    0.000    0.000    0.002    0.000 traceback.py:279(line)
       58    0.000    0.000    0.002    0.000 GL_3_3.py:12(_f)
        1    0.000    0.000    0.002    0.002 __init__.py:3(<module>)
     7532    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 tess.py:1(<module>)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
       75    0.000    0.000    0.002    0.000 linecache.py:15(getline)
        1    0.000    0.000    0.002    0.002 framebuffer_object.py:274(<module>)
     2090    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      596    0.000    0.000    0.002    0.000 wrapper.py:193(typeOfArg)
      779    0.001    0.000    0.002    0.000 wrapper.py:115(cArgIndex)
      6/4    0.000    0.000    0.002    0.000 baseplatform.py:13(__get__)
      530    0.001    0.000    0.002    0.000 genericpath.py:117(_splitext)
     3457    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x5EB22AB0}
    14806    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
       75    0.000    0.000    0.002    0.000 linecache.py:37(getlines)
     2846    0.001    0.000    0.002    0.000 wrapper.py:33(asList)
        2    0.000    0.000    0.002    0.001 ctypesloader.py:17(loadLibrary)
     1188    0.000    0.000    0.002    0.000 version.py:47(__lt__)
        1    0.000    0.000    0.002    0.002 GL_3_2.py:1(<module>)
       93    0.000    0.000    0.002    0.000 GL_2_0.py:12(_f)
        7    0.000    0.000    0.002    0.000 enum.py:364(_create_)
        1    0.000    0.000    0.002    0.002 linecache.py:82(updatecache)
